n,tip,repetari,algoritm,status,rulari,timp_total_sec,timp_mediu_sec,timp_min_sec,timp_max_sec,memorie_auxiliara_estimata_bytes,memorie_totala_estimata_bytes
50,plat,5000,Heap Sort,OK,5000,0.008063,0.000002,0.000001,0.000019,0,200
50,plat,5000,Counting Sort,OK,5000,0.002094,0.000000,0.000000,0.000008,220,420
50,plat,5000,Radix Sort,OK,5000,0.002247,0.000000,0.000000,0.000009,240,440
100,aleator,2000,Bubble Sort,OK,2000,0.026474,0.000013,0.000011,0.000050,0,400
100,aleator,2000,Selection Sort,OK,2000,0.012335,0.000006,0.000005,0.000020,0,400
100,aleator,2000,Insertion Sort,OK,2000,0.006825,0.000003,0.000002,0.000015,0,400
100,aleator,2000,Quick Sort,OK,2000,0.006641,0.000003,0.000002,0.000020,0,400
100,aleator,2000,Merge Sort,OK,2000,0.007692,0.000004,0.000003,0.000016,400,800
100,aleator,2000,Heap Sort,OK,2000,0.009224,0.000005,0.000004,0.000022,0,400
100,aleator,2000,Counting Sort,OK,2000,0.001239,0.000001,0.000000,0.000011,800,1200
100,aleator,2000,Radix Sort,OK,2000,0.001884,0.000001,0.000000,0.000013,440,840
100,sortat,2000,Bubble Sort,OK,2000,0.008895,0.000004,0.000004,0.000017,0,400
100,sortat,2000,Selection Sort,OK,2000,0.007825,0.000004,0.000003,0.000035,0,400
100,sortat,2000,Insertion Sort,OK,2000,0.000689,0.000000,0.000000,0.000004,0,400
100,sortat,2000,Quick Sort,OK,2000,0.001384,0.000001,0.000000,0.000010,0,400
100,sortat,2000,Merge Sort,OK,2000,0.004273,0.000002,0.000001,0.000011,400,800
100,sortat,2000,Heap Sort,OK,2000,0.004839,0.000002,0.000002,0.000024,0,400
100,sortat,2000,Counting Sort,OK,2000,0.001186,0.000001,0.000000,0.000011,800,1200
100,sortat,2000,Radix Sort,OK,2000,0.001786,0.000001,0.000000,0.000015,440,840
